2026-08-20 11:19:33 | INFO     | grid_bot.trading | dca_manager:605 | Manual sell placed: grid=grd_1787224768740_95f231 order=ord_1787224773095_385f6a qty=0.00084000 @ ₹7084487.80 mode=paper
2026-08-20 11:19:39 | INFO     | grid_bot.trading | order_manager:329 | order.filled       order=ord_1787224768870_59a9cd grid=grd_1787224768740_95f231 symbol=BTCINR side=buy exchange_id=PAPER_000007 filled=0.00084000 (was open)
2026-08-20 11:19:39 | INFO     | grid_bot.trading | order_monitor:163 | order.filled   order=ord_1787224768870_59a9cd grid=grd_1787224768740_95f231 symbol=BTCINR side=buy exchange_id=PAPER_000007 qty=0.00084000 @ ₹7084889.53
2026-08-20 11:19:39 | WARNING  | grid_bot.trading | dca_manager:863 | Could not resolve fee for order ord_1787224768870_59a9cd via trade history: CoinDCX rejected credentials on /exchange/v1/orders/trade_history: {"code":401,"message":"Invalid credentials","status":"error","errorCode":"BFF-AUTH-001"}
2026-08-20 11:19:39 | INFO     | grid_bot.trading | dca_manager:1263 | Buy filled grd_1787224768740_95f231: qty 0.00084000 @ ₹7084889.53 → avg ₹7087852.02 level 2
2026-08-20 11:19:39 | INFO     | grid_bot.trading | order_manager:329 | order.filled       order=ord_1787224773095_385f6a grid=grd_1787224768740_95f231 symbol=BTCINR side=sell exchange_id=PAPER_000008 filled=0.00084000 (was open)
2026-08-20 11:19:39 | INFO     | grid_bot.trading | order_monitor:163 | order.filled   order=ord_1787224773095_385f6a grid=grd_1787224768740_95f231 symbol=BTCINR side=sell exchange_id=PAPER_000008 qty=0.00084000 @ ₹7080382.87
2026-08-20 11:19:39 | WARNING  | grid_bot.trading | dca_manager:863 | Could not resolve fee for order ord_1787224773095_385f6a via trade history: CoinDCX rejected credentials on /exchange/v1/orders/trade_history: {"code":401,"message":"Invalid credentials","status":"error","errorCode":"BFF-AUTH-001"}
2026-08-20 11:19:39 | INFO     | grid_bot.trading | dca_manager:1352 | Sell filled grd_1787224768740_95f231: qty 0.00084000 @ ₹7080382.87 pnl ₹-6.27 fee ₹0.00 (net ₹-6.27 total realized ₹-6.27)
2026-08-20 11:19:41 | INFO     | grid_bot.trading | order_manager:97 | order.pending  order=ord_1787224781271_3bdd73 grid=grd_1787224768740_95f231 symbol=BTCINR side=sell qty=0.00120000 price=7081654.0000 mode=paper
2026-08-20 11:19:41 | INFO     | grid_bot.trading | order_manager:179 | order.open         order=ord_1787224781271_3bdd73 grid=grd_1787224768740_95f231 symbol=BTCINR side=sell exchange_id=PAPER_000009 qty=0.00120000 filled=0.00000000 mode=paper
2026-08-20 11:19:41 | INFO     | grid_bot.trading | dca_manager:605 | Manual sell placed: grid=grd_1787224768740_95f231 order=ord_1787224781271_3bdd73 qty=0.00120000 @ ₹7081654.00 mode=paper
2026-08-20 11:19:41 | INFO     | grid_bot.trading | dca_manager:325 | Grid grd_1787224768740_95f231 paused
2026-08-20 11:19:41 | INFO     | grid_bot.trading | dca_manager:334 | Grid grd_1787224768740_95f231 resumed
